track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,artist5
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Taylor Swift,"","",800.840817,125,548,0,A,Major,Taylor Swift,1
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,Bad Bunny,"","",303.236322,87,425,0,A,Minor,Bad Bunny,3
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,Bad Bunny, Grupo Frontera,"",505.671438,54,251,0,F#,Minor,Bad Bunny,3
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,"",174,F#,Minor,52,66,73,34,0,31,6,Harry Styles,"","",2513.188493,863,,0,F#,Minor,Harry Styles,5
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,SZA,"","",1163.093654,161,187,0,G#,Major,SZA,7
I Can See You (Taylor���s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,Taylor Swift,"","",52.135248,42,150,0,F#,Major,Taylor Swift,1
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,The Weeknd, Madonna, Playboi Carti,115.364561,87,1093,0,C#,Major,The Weeknd,2
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,The Weeknd, 21 Savage, Metro Boomin,843.95751,245,27,0,C#,Minor,The Weeknd,2
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,Taylor Swift,"","",999.748277,165,310,0,E,Major,Taylor Swift,1
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,Taylor Swift,"","",1355.959075,410,81,0,F,Major,Taylor Swift,1
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,Taylor Swift,"","",786.181836,151,82,0,D,Major,Taylor Swift,1
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,The Weeknd,"","",1647.990401,24,259,0,C#,Minor,The Weeknd,2
